2024-06-09 14:35:11,104.hm_producer.INFO ==================================================
2024-06-09 14:35:11,104.hm_producer.INFO Today is 2024-06-09 at 02:35 PM
2024-06-09 14:35:11,106.hm_producer.INFO Running on: nt Windows 10
2024-06-09 14:35:11,107.hm_producer.INFO Python version:  3.10.9
2024-06-09 14:35:11,108.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-09 14:35:11,109.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-06-smart-smoker
2024-06-09 14:35:11,110.hm_producer.INFO ==================================================
2024-06-09 14:35:14,883.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:46:15', 137.3)
2024-06-09 14:35:14,905.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:47:10', 139.5)
2024-06-09 14:35:14,930.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:47:15', 139.5)
2024-06-09 14:35:14,956.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:48:10', 141.8)
2024-06-09 14:35:14,981.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:48:15', 141.8)
2024-06-09 14:35:15,010.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:49:10', 143.6)
2024-06-09 14:35:15,040.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:49:15', 143.6)
2024-06-09 14:35:15,072.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:50:10', 145.0)
2024-06-09 14:35:15,108.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:50:15', 145.0)
2024-06-09 14:35:15,146.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:51:10', 146.2)
2024-06-09 14:35:15,181.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:51:15', 146.2)
2024-06-09 14:35:15,236.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:52:10', 147.5)
2024-06-09 14:35:15,263.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:52:15', 147.5)
2024-06-09 14:35:15,289.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:53:10', 148.7)
2024-06-09 14:35:15,314.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:53:15', 148.7)
2024-06-09 14:35:15,340.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:54:10', 149.9)
2024-06-09 14:35:15,367.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:54:15', 149.9)
2024-06-09 14:35:15,397.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:55:05', 151.1)
2024-06-09 14:35:15,424.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:55:10', 151.2)
2024-06-09 14:35:15,451.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:55:15', 151.2)
2024-06-09 14:35:15,485.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:56:10', 152.4)
2024-06-09 14:35:15,528.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:56:15', 152.4)
2024-06-09 14:35:15,563.hm_producer.INFO Sent message to smokerA: ('05/22/21 12:57:10', 153.4)
